shapelet_id,length,score,source_id,source_series_index,start
sh_00,30,1.3596806889768245,56272,727,275
sh_01,30,1.1961214393775181,96055,806,189
sh_02,30,1.11033285302425,163866,704,222
sh_03,30,0.758318346777027,56272,727,90
sh_04,7,0.5675529999999996,69069,920,105
sh_05,30,0.4801703594311637,81190,531,55
sh_06,14,0.26921555414485493,229406,182,302
sh_07,14,0.25485492542998817,165105,31,57
sh_08,14,0.23765226126638833,255258,572,215
sh_09,14,0.234110471085582,239813,813,232
sh_10,14,0.22775910990572407,140878,62,49
sh_11,7,0.1561759070461303,217920,508,252
sh_12,7,0.14400138452564676,123748,363,350
sh_13,7,0.12998449763574205,170457,98,52
sh_14,7,0.12766879531324055,121856,627,274
