ID,SparsityBucket,ForecastGroup,MAE
54991,all,2,0.47815570866214774
87687,all,2,1.0128096237807975
254149,all,0,7.060502916700847
224261,all,0,3.413096476507965
31313,all,1,1.9618729122922731
10081,all,1,1.2836316618580637
28496,all,6,4.406855324867648
176730,all,6,4.721092482178589
230211,all,3,0.10181420765027326
87545,all,3,0.47077347171426354
134753,all,7,1.3156311236261677
179882,all,7,0.8874659549629761
22878,all,8,1.3376584525655515
296296,all,8,0.659441361343926
71760,all,5,0.909514811218762
167321,all,5,1.1865191647159592
27418,all,4,0.8778754379918664
43601,all,4,0.3985378787943524
32013,all,inactive,0.0
178511,all,inactive,0.0
